Fecha,Tienda,SKU,Producto,Categoría,Precio (€),Coste_unitario (€),Margen_unitario (€),Unidades_vendidas,Tipo_cliente,Canal_venta,Método_pago,Campaña,Temporada,Stock_inicial,Stock_final,Reposición_necesaria,Región
2024-10-04,GoldenGoose.com,GG-AC457,Gorra Logo,Accesorios,960.0,496.46,463.54,1,Turista,Online,Tarjeta,Colaboración GGxArt,Otoño,26,25,False,Global
2024-12-30,Milán Centro,GG-AC192,Cinturón Star,Accesorios,968.35,549.34,419.01,3,Turista,Físico,Online,,Invierno,10,7,True,Europa
2024-06-21,NY Soho,GG-SN112,Stardan,Sneakers,1659.48,858.72,800.76,1,Regular,Físico,Tarjeta,Colección Primavera,Primavera,10,9,True,EE.UU.
2024-05-08,París Marais,GG-BO831,Mini Clutch,Bolsos,1590.51,929.53,660.98,3,Regular,Físico,Online,Navidad Exclusiva,Primavera,24,21,False,Europa
2024-12-07,Milán Centro,GG-CH470,Bomber Star,Chaquetas,910.08,568.49,341.59,1,Turista,Físico,Online,,Invierno,13,12,False,Europa
2024-06-06,Tokio Ginza,GG-SN374,Running Sole,Sneakers,1673.03,874.17,798.86,1,Regular,Físico,Tarjeta,Navidad Exclusiva,Otoño,30,29,False,Asia
2024-03-20,París Marais,GG-CH338,Bomber Star,Chaquetas,1111.45,592.84,518.61,1,Regular,Físico,Tarjeta,Colección Primavera,Verano,29,28,False,Europa
2024-09-07,Tokio Ginza,GG-BO251,Mini Clutch,Bolsos,1817.33,935.12,882.21,1,Turista,Físico,Online,Navidad Exclusiva,Primavera,21,20,False,Asia
2024-10-07,GoldenGoose.com,GG-CH289,Bomber Star,Chaquetas,1091.28,539.5,551.78,2,Turista,Online,Online,Navidad Exclusiva,Otoño,22,20,False,Global
2024-07-14,Milán Centro,GG-SN493,Stardan,Sneakers,1313.83,527.54,786.29,2,Turista,Físico,Online,Navidad Exclusiva,Otoño,10,8,True,Europa
2024-03-27,NY Soho,GG-SN773,Stardan,Sneakers,1485.54,951.88,533.66,1,VIP,Físico,Online,Edición Limitada,Primavera,10,9,True,EE.UU.
2024-01-19,GoldenGoose.com,GG-CH949,Bomber Star,Chaquetas,1905.84,1152.64,753.2,1,VIP,Online,Tarjeta,Colección Primavera,Otoño,22,21,False,Global
2024-02-19,París Marais,GG-BO765,Mini Clutch,Bolsos,699.08,378.44,320.64,2,VIP,Físico,Tarjeta,,Verano,8,6,True,Europa
2024-12-02,NY Soho,GG-SN162,Super-Star,Sneakers,1236.95,607.53,629.42,1,VIP,Físico,Online,Colaboración GGxArt,Invierno,19,18,False,EE.UU.
2024-04-16,Milán Centro,GG-SN966,Stardan,Sneakers,617.16,297.85,319.31,1,Regular,Físico,Online,Colaboración GGxArt,Otoño,17,16,False,Europa
2024-01-03,GoldenGoose.com,GG-SN959,Super-Star,Sneakers,471.5,210.87,260.63,2,VIP,Online,Tarjeta,Navidad Exclusiva,Invierno,24,22,False,Global
2024-07-09,Madrid Serrano,GG-CH883,Denim Glow,Chaquetas,1209.99,683.77,526.22,1,Regular,Físico,Online,Edición Limitada,Primavera,22,21,False,Europa
2024-11-04,París Marais,GG-CH697,Bomber Star,Chaquetas,1232.74,766.14,466.6,2,Regular,Físico,Online,,Invierno,25,23,False,Europa
2024-03-01,Tokio Ginza,GG-BO572,Mini Clutch,Bolsos,1282.71,675.13,607.58,4,Regular,Físico,Tarjeta,,Primavera,15,11,False,Asia
2024-05-28,París Marais,GG-AC251,Bufanda Lux,Accesorios,1680.53,921.95,758.58,1,Regular,Físico,Tarjeta,Edición Limitada,Invierno,30,29,False,Europa
2024-12-30,París Marais,GG-BO143,Mini Clutch,Bolsos,481.29,195.71,285.58,1,Turista,Físico,Online,Edición Limitada,Otoño,22,21,False,Europa
2024-08-30,NY Soho,GG-SN183,Ball Star,Sneakers,1441.95,727.71,714.24,4,Regular,Físico,Tarjeta,Edición Limitada,Verano,9,5,True,EE.UU.
2024-08-17,Milán Centro,GG-AC196,Cinturón Star,Accesorios,1634.9,787.1,847.8,0,VIP,Físico,Tarjeta,Colección Primavera,Otoño,29,29,False,Europa
2024-01-26,Madrid Serrano,GG-SN928,Super-Star,Sneakers,838.2,441.67,396.53,1,VIP,Físico,Tarjeta,Colaboración GGxArt,Invierno,6,5,True,Europa
2024-07-16,NY Soho,GG-AC112,Cinturón Star,Accesorios,1584.3,835.19,749.11,1,Regular,Físico,Online,Colaboración GGxArt,Verano,23,22,False,EE.UU.
2024-08-04,Tokio Ginza,GG-SN783,Running Sole,Sneakers,884.52,372.58,511.94,0,Regular,Físico,Online,Navidad Exclusiva,Otoño,18,18,False,Asia
2024-01-20,Tokio Ginza,GG-AC145,Bufanda Lux,Accesorios,578.62,301.64,276.98,3,Regular,Físico,Online,Colaboración GGxArt,Invierno,22,19,False,Asia
2024-12-21,GoldenGoose.com,GG-AC482,Cinturón Star,Accesorios,1551.61,757.43,794.18,1,Regular,Online,Tarjeta,,Primavera,31,30,False,Global
2024-07-19,París Marais,GG-CH425,Leather Biker,Chaquetas,974.64,408.56,566.08,2,Regular,Físico,Online,Colección Primavera,Otoño,22,20,False,Europa
2024-06-01,Madrid Serrano,GG-BO513,Mini Clutch,Bolsos,1768.93,771.15,997.78,3,Regular,Físico,Online,Colección Primavera,Primavera,31,28,False,Europa
2024-06-20,GoldenGoose.com,GG-SN414,Ball Star,Sneakers,1100.53,552.48,548.05,1,Regular,Online,Tarjeta,,Invierno,19,18,False,Global
2024-10-19,Milán Centro,GG-AC954,Gorra Logo,Accesorios,1228.75,738.43,490.32,0,VIP,Físico,Online,,Verano,17,17,False,Europa
2024-01-24,Madrid Serrano,GG-BO634,Mini Clutch,Bolsos,1678.63,982.41,696.22,2,VIP,Físico,Tarjeta,Colaboración GGxArt,Otoño,19,17,False,Europa
2024-06-19,GoldenGoose.com,GG-BO379,Mini Clutch,Bolsos,1037.0,534.59,502.41,0,Regular,Online,Tarjeta,Edición Limitada,Otoño,14,14,False,Global
2024-09-07,París Marais,GG-BO206,Star Bag,Bolsos,1672.62,808.3,864.32,5,Regular,Físico,Tarjeta,Colaboración GGxArt,Verano,24,19,False,Europa
2024-01-27,Tokio Ginza,GG-CH511,Leather Biker,Chaquetas,1431.55,928.18,503.37,4,VIP,Físico,Online,Edición Limitada,Primavera,33,29,False,Asia
2024-04-08,Tokio Ginza,GG-CH484,Denim Glow,Chaquetas,641.65,403.93,237.72,1,Regular,Físico,Online,Colección Primavera,Verano,30,29,False,Asia
2024-09-02,NY Soho,GG-BO549,Star Bag,Bolsos,1993.08,1226.25,766.83,5,Regular,Físico,Tarjeta,Navidad Exclusiva,Invierno,27,22,False,EE.UU.
2024-05-06,Madrid Serrano,GG-BO964,Tote GG,Bolsos,1119.53,506.62,612.91,2,VIP,Físico,Tarjeta,Edición Limitada,Otoño,20,18,False,Europa
2024-04-22,Tokio Ginza,GG-SN300,Running Sole,Sneakers,1872.56,767.45,1105.11,2,Regular,Físico,Tarjeta,,Otoño,24,22,False,Asia
2024-02-08,Madrid Serrano,GG-CH919,Denim Glow,Chaquetas,1932.72,981.08,951.64,0,Turista,Físico,Online,Colaboración GGxArt,Otoño,8,8,True,Europa
2024-11-16,Madrid Serrano,GG-CH112,Denim Glow,Chaquetas,1639.06,871.98,767.08,2,VIP,Físico,Online,Navidad Exclusiva,Verano,24,22,False,Europa
2024-05-08,Madrid Serrano,GG-AC338,Bufanda Lux,Accesorios,960.19,496.09,464.1,2,Regular,Físico,Online,Colección Primavera,Invierno,28,26,False,Europa
2024-04-30,NY Soho,GG-CH838,Denim Glow,Chaquetas,1678.8,1055.88,622.92,1,VIP,Físico,Tarjeta,Colaboración GGxArt,Otoño,10,9,True,EE.UU.
2024-04-13,GoldenGoose.com,GG-SN523,Stardan,Sneakers,1492.03,742.77,749.26,0,VIP,Online,Online,Edición Limitada,Invierno,18,18,False,Global
2024-09-06,GoldenGoose.com,GG-SN675,Running Sole,Sneakers,1455.99,630.2,825.79,0,VIP,Online,Tarjeta,,Invierno,23,23,False,Global
2024-01-16,GoldenGoose.com,GG-BO568,Star Bag,Bolsos,1350.76,625.15,725.61,2,Turista,Online,Online,Colaboración GGxArt,Primavera,10,8,True,Global
2024-08-25,Madrid Serrano,GG-CH928,Leather Biker,Chaquetas,580.63,366.22,214.41,4,Turista,Físico,Online,Colaboración GGxArt,Invierno,29,25,False,Europa
2024-11-07,GoldenGoose.com,GG-CH577,Denim Glow,Chaquetas,1336.57,759.59,576.98,2,Regular,Online,Online,Colección Primavera,Invierno,19,17,False,Global
2024-10-20,NY Soho,GG-BO991,Star Bag,Bolsos,1264.68,595.31,669.37,1,Regular,Físico,Online,,Invierno,24,23,False,EE.UU.
2024-03-19,NY Soho,GG-SN647,Running Sole,Sneakers,503.64,315.3,188.34,2,Regular,Físico,Tarjeta,Colaboración GGxArt,Verano,15,13,False,EE.UU.
2024-11-07,París Marais,GG-AC978,Bufanda Lux,Accesorios,1456.75,648.86,807.89,1,Regular,Físico,Tarjeta,Colección Primavera,Primavera,13,12,False,Europa
2024-03-10,NY Soho,GG-CH349,Denim Glow,Chaquetas,1115.16,605.0,510.16,4,Regular,Físico,Tarjeta,Edición Limitada,Invierno,29,25,False,EE.UU.
2024-07-29,Tokio Ginza,GG-AC368,Bufanda Lux,Accesorios,1581.88,818.22,763.66,1,Regular,Físico,Tarjeta,,Invierno,28,27,False,Asia
2024-06-28,NY Soho,GG-SN956,Stardan,Sneakers,770.54,361.83,408.71,1,Turista,Físico,Online,Colaboración GGxArt,Primavera,7,6,True,EE.UU.
2024-01-07,NY Soho,GG-SN175,Super-Star,Sneakers,850.13,378.24,471.89,3,Turista,Físico,Tarjeta,Navidad Exclusiva,Otoño,15,12,False,EE.UU.
2024-12-19,Madrid Serrano,GG-AC442,Bufanda Lux,Accesorios,1701.86,916.61,785.25,0,VIP,Físico,Online,Colaboración GGxArt,Otoño,25,25,False,Europa
2024-10-12,Milán Centro,GG-SN667,Running Sole,Sneakers,732.38,475.71,256.67,1,Regular,Físico,Online,Navidad Exclusiva,Primavera,26,25,False,Europa
2024-10-30,París Marais,GG-AC694,Cinturón Star,Accesorios,1491.94,947.87,544.07,0,Regular,Físico,Online,Colaboración GGxArt,Otoño,21,21,False,Europa
2024-11-02,GoldenGoose.com,GG-BO214,Mini Clutch,Bolsos,553.61,308.95,244.66,3,VIP,Online,Online,,Invierno,8,5,True,Global
2024-01-26,GoldenGoose.com,GG-AC646,Bufanda Lux,Accesorios,1752.39,1081.71,670.68,1,Regular,Online,Tarjeta,Colección Primavera,Verano,20,19,False,Global
2024-06-05,Madrid Serrano,GG-CH749,Bomber Star,Chaquetas,1771.77,767.54,1004.23,2,Regular,Físico,Tarjeta,Colección Primavera,Primavera,9,7,True,Europa
2024-08-09,París Marais,GG-BO820,Star Bag,Bolsos,1108.01,569.83,538.18,2,VIP,Físico,Tarjeta,Navidad Exclusiva,Primavera,32,30,False,Europa
2024-11-04,Milán Centro,GG-BO133,Mini Clutch,Bolsos,1552.5,928.31,624.19,3,Turista,Físico,Tarjeta,,Verano,25,22,False,Europa
2024-03-12,Milán Centro,GG-SN333,Stardan,Sneakers,517.74,250.38,267.36,2,Regular,Físico,Tarjeta,Colaboración GGxArt,Verano,22,20,False,Europa
2024-02-06,GoldenGoose.com,GG-BO302,Tote GG,Bolsos,860.66,482.16,378.5,1,Turista,Online,Tarjeta,Colección Primavera,Otoño,15,14,False,Global
2024-06-13,París Marais,GG-AC679,Cinturón Star,Accesorios,1133.79,721.51,412.28,1,Regular,Físico,Online,Edición Limitada,Primavera,11,10,False,Europa
2024-12-04,Madrid Serrano,GG-SN656,Stardan,Sneakers,1864.69,970.35,894.34,2,VIP,Físico,Online,,Invierno,7,5,True,Europa
2024-10-18,París Marais,GG-SN293,Super-Star,Sneakers,1391.6,735.59,656.01,0,VIP,Físico,Online,,Invierno,14,14,False,Europa
2024-05-19,Milán Centro,GG-CH928,Denim Glow,Chaquetas,1437.59,755.94,681.65,1,Regular,Físico,Tarjeta,Edición Limitada,Verano,27,26,False,Europa
2024-08-06,Tokio Ginza,GG-CH818,Denim Glow,Chaquetas,861.44,496.71,364.73,2,VIP,Físico,Tarjeta,Colaboración GGxArt,Primavera,28,26,False,Asia
2024-07-21,París Marais,GG-SN319,Super-Star,Sneakers,885.04,486.87,398.17,1,Regular,Físico,Online,Colección Primavera,Verano,19,18,False,Europa
2024-12-31,Tokio Ginza,GG-CH866,Bomber Star,Chaquetas,1177.98,542.3,635.68,2,VIP,Físico,Online,Colaboración GGxArt,Otoño,9,7,True,Asia
2024-10-27,GoldenGoose.com,GG-CH166,Leather Biker,Chaquetas,1757.16,947.39,809.77,1,Regular,Online,Online,Navidad Exclusiva,Otoño,7,6,True,Global
2024-02-05,GoldenGoose.com,GG-AC574,Gorra Logo,Accesorios,1600.7,812.53,788.17,1,Turista,Online,Online,Edición Limitada,Invierno,22,21,False,Global
2024-05-17,Tokio Ginza,GG-AC359,Gorra Logo,Accesorios,1612.37,796.55,815.82,1,VIP,Físico,Tarjeta,,Invierno,15,14,False,Asia
2024-06-01,Tokio Ginza,GG-AC790,Bufanda Lux,Accesorios,1049.64,590.84,458.8,0,Regular,Físico,Online,Colección Primavera,Otoño,16,16,False,Asia
2024-02-12,Madrid Serrano,GG-CH558,Denim Glow,Chaquetas,1012.27,568.52,443.75,1,VIP,Físico,Tarjeta,Colección Primavera,Invierno,12,11,False,Europa
2024-09-18,Milán Centro,GG-CH100,Bomber Star,Chaquetas,784.69,462.76,321.93,0,Regular,Físico,Online,Navidad Exclusiva,Primavera,22,22,False,Europa
2024-11-11,Tokio Ginza,GG-BO805,Tote GG,Bolsos,1087.08,650.03,437.05,2,VIP,Físico,Tarjeta,Navidad Exclusiva,Invierno,8,6,True,Asia
2024-06-09,París Marais,GG-SN580,Ball Star,Sneakers,1986.1,874.1,1112.0,0,Regular,Físico,Online,Edición Limitada,Otoño,29,29,False,Europa
2024-11-17,Milán Centro,GG-BO169,Tote GG,Bolsos,1475.26,595.36,879.9,2,VIP,Físico,Tarjeta,Colección Primavera,Otoño,22,20,False,Europa
2024-10-20,GoldenGoose.com,GG-BO623,Star Bag,Bolsos,1167.1,739.8,427.3,0,Turista,Online,Online,Navidad Exclusiva,Primavera,24,24,False,Global
2024-05-15,París Marais,GG-SN161,Stardan,Sneakers,1185.9,505.75,680.15,1,Turista,Físico,Online,Edición Limitada,Primavera,7,6,True,Europa
2024-02-16,Madrid Serrano,GG-AC290,Bufanda Lux,Accesorios,1748.31,1090.46,657.85,0,Regular,Físico,Online,Edición Limitada,Otoño,12,12,False,Europa
2024-01-07,Madrid Serrano,GG-CH941,Leather Biker,Chaquetas,998.62,563.72,434.9,1,Turista,Físico,Online,Colaboración GGxArt,Primavera,11,10,False,Europa
2024-02-29,París Marais,GG-SN357,Ball Star,Sneakers,1213.58,751.41,462.17,2,VIP,Físico,Tarjeta,Navidad Exclusiva,Primavera,18,16,False,Europa
2024-09-21,París Marais,GG-BO493,Star Bag,Bolsos,1328.58,630.02,698.56,0,Turista,Físico,Tarjeta,Colección Primavera,Primavera,29,29,False,Europa
2024-06-01,Tokio Ginza,GG-AC369,Cinturón Star,Accesorios,1353.74,591.18,762.56,2,Regular,Físico,Tarjeta,Colección Primavera,Verano,18,16,False,Asia
2024-12-12,Milán Centro,GG-CH127,Bomber Star,Chaquetas,584.68,322.17,262.51,2,Regular,Físico,Online,,Otoño,27,25,False,Europa
2024-01-11,NY Soho,GG-BO948,Star Bag,Bolsos,1946.14,1192.81,753.33,2,Regular,Físico,Online,,Invierno,8,6,True,EE.UU.
2024-02-28,NY Soho,GG-AC909,Gorra Logo,Accesorios,1483.37,958.22,525.15,0,VIP,Físico,Online,Navidad Exclusiva,Primavera,6,6,True,EE.UU.
2024-01-31,GoldenGoose.com,GG-CH952,Leather Biker,Chaquetas,955.08,514.75,440.33,1,Turista,Online,Tarjeta,Colaboración GGxArt,Verano,13,12,False,Global
2024-12-05,GoldenGoose.com,GG-CH942,Bomber Star,Chaquetas,1964.42,822.6,1141.82,2,Regular,Online,Online,Colaboración GGxArt,Invierno,32,30,False,Global
2024-04-28,GoldenGoose.com,GG-AC909,Gorra Logo,Accesorios,826.1,362.5,463.6,3,VIP,Online,Tarjeta,Colección Primavera,Verano,33,30,False,Global
2024-10-06,Milán Centro,GG-CH347,Denim Glow,Chaquetas,582.56,277.56,305.0,2,VIP,Físico,Tarjeta,Edición Limitada,Verano,18,16,False,Europa
2024-10-05,París Marais,GG-CH754,Bomber Star,Chaquetas,644.11,378.52,265.59,0,VIP,Físico,Tarjeta,Colaboración GGxArt,Primavera,11,11,False,Europa
2024-02-07,GoldenGoose.com,GG-SN535,Super-Star,Sneakers,1382.05,838.2,543.85,3,Regular,Online,Online,Edición Limitada,Verano,25,22,False,Global
2024-09-23,Tokio Ginza,GG-AC174,Cinturón Star,Accesorios,1426.82,594.53,832.29,1,Regular,Físico,Tarjeta,,Invierno,10,9,True,Asia
2024-12-06,Madrid Serrano,GG-BO827,Mini Clutch,Bolsos,824.14,387.44,436.7,0,VIP,Físico,Tarjeta,Navidad Exclusiva,Otoño,24,24,False,Europa
2024-09-14,París Marais,GG-AC879,Gorra Logo,Accesorios,510.54,211.5,299.04,1,VIP,Físico,Tarjeta,Colaboración GGxArt,Otoño,13,12,False,Europa
2024-09-07,Tokio Ginza,GG-CH753,Bomber Star,Chaquetas,1974.37,1119.67,854.7,3,Regular,Físico,Tarjeta,Navidad Exclusiva,Primavera,14,11,False,Asia
2024-01-28,GoldenGoose.com,GG-BO920,Mini Clutch,Bolsos,1149.02,603.3,545.72,2,Turista,Online,Tarjeta,,Primavera,24,22,False,Global
2024-03-26,Tokio Ginza,GG-SN709,Stardan,Sneakers,1646.64,1052.21,594.43,2,Regular,Físico,Tarjeta,Navidad Exclusiva,Otoño,9,7,True,Asia
2024-01-04,París Marais,GG-BO673,Star Bag,Bolsos,1794.51,801.93,992.58,0,Regular,Físico,Online,Navidad Exclusiva,Invierno,22,22,False,Europa
2024-02-27,GoldenGoose.com,GG-SN515,Running Sole,Sneakers,760.4,438.81,321.59,1,Regular,Online,Online,Navidad Exclusiva,Otoño,16,15,False,Global
2024-12-18,Tokio Ginza,GG-SN191,Stardan,Sneakers,1980.48,1039.93,940.55,3,Regular,Físico,Tarjeta,Navidad Exclusiva,Verano,14,11,False,Asia
2024-05-31,GoldenGoose.com,GG-SN720,Ball Star,Sneakers,1556.26,855.67,700.59,0,Turista,Online,Online,Edición Limitada,Invierno,5,5,True,Global
2024-08-26,París Marais,GG-SN600,Running Sole,Sneakers,1193.01,689.24,503.77,3,Regular,Físico,Tarjeta,Colección Primavera,Verano,25,22,False,Europa
2024-02-09,París Marais,GG-AC994,Gorra Logo,Accesorios,1108.72,491.45,617.27,0,Turista,Físico,Tarjeta,Edición Limitada,Invierno,17,17,False,Europa
2024-07-30,Tokio Ginza,GG-AC506,Gorra Logo,Accesorios,607.65,256.68,350.97,2,Turista,Físico,Tarjeta,Navidad Exclusiva,Verano,21,19,False,Asia
2024-01-21,Tokio Ginza,GG-AC176,Bufanda Lux,Accesorios,1836.52,847.68,988.84,1,Regular,Físico,Tarjeta,Edición Limitada,Otoño,13,12,False,Asia
2024-12-30,Milán Centro,GG-SN614,Stardan,Sneakers,1903.9,1208.83,695.07,0,VIP,Físico,Tarjeta,Navidad Exclusiva,Otoño,22,22,False,Europa
2024-08-28,Milán Centro,GG-AC313,Bufanda Lux,Accesorios,1452.56,762.91,689.65,2,Regular,Físico,Online,Colaboración GGxArt,Primavera,22,20,False,Europa
2024-07-01,NY Soho,GG-AC327,Gorra Logo,Accesorios,1549.09,866.99,682.1,2,VIP,Físico,Online,Colección Primavera,Invierno,28,26,False,EE.UU.
2024-02-07,Tokio Ginza,GG-BO657,Tote GG,Bolsos,1717.62,815.26,902.36,1,Regular,Físico,Online,Navidad Exclusiva,Primavera,31,30,False,Asia
2024-06-24,Madrid Serrano,GG-BO893,Star Bag,Bolsos,1622.14,1001.03,621.11,0,Turista,Físico,Online,Colaboración GGxArt,Otoño,14,14,False,Europa
2024-10-27,París Marais,GG-CH398,Bomber Star,Chaquetas,1958.27,984.43,973.84,0,Turista,Físico,Online,Navidad Exclusiva,Primavera,7,7,True,Europa
2024-10-29,Milán Centro,GG-SN109,Running Sole,Sneakers,1863.39,898.82,964.57,0,Regular,Físico,Online,Navidad Exclusiva,Verano,27,27,False,Europa
2024-10-15,NY Soho,GG-AC148,Bufanda Lux,Accesorios,1674.93,1028.41,646.52,2,VIP,Físico,Online,Colaboración GGxArt,Invierno,18,16,False,EE.UU.
2024-06-19,NY Soho,GG-BO924,Tote GG,Bolsos,830.22,437.24,392.98,3,VIP,Físico,Tarjeta,,Verano,28,25,False,EE.UU.
2024-12-01,NY Soho,GG-AC589,Gorra Logo,Accesorios,1417.88,696.67,721.21,0,VIP,Físico,Online,Edición Limitada,Invierno,29,29,False,EE.UU.
2024-02-24,París Marais,GG-AC102,Bufanda Lux,Accesorios,459.67,210.72,248.95,1,Turista,Físico,Online,Colaboración GGxArt,Otoño,22,21,False,Europa
2024-12-12,GoldenGoose.com,GG-BO548,Star Bag,Bolsos,1550.76,864.96,685.8,1,VIP,Online,Online,,Otoño,19,18,False,Global
2024-02-22,París Marais,GG-SN358,Ball Star,Sneakers,583.61,374.77,208.84,1,VIP,Físico,Tarjeta,Navidad Exclusiva,Otoño,8,7,True,Europa
2024-08-03,Tokio Ginza,GG-BO388,Star Bag,Bolsos,1230.09,537.47,692.62,2,Regular,Físico,Online,Navidad Exclusiva,Primavera,23,21,False,Asia
2024-11-16,GoldenGoose.com,GG-SN148,Ball Star,Sneakers,783.42,347.45,435.97,1,VIP,Online,Tarjeta,Colección Primavera,Primavera,8,7,True,Global
2024-11-15,NY Soho,GG-AC400,Bufanda Lux,Accesorios,854.99,520.51,334.48,1,VIP,Físico,Online,Edición Limitada,Verano,10,9,True,EE.UU.
2024-11-12,GoldenGoose.com,GG-BO159,Mini Clutch,Bolsos,1376.77,858.01,518.76,1,Regular,Online,Online,Navidad Exclusiva,Primavera,6,5,True,Global
